lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.784954,-0.192545,AL7 4LA,Welwyn Hatfield,East of England,51.784969,-0.192534,200,OK
51.710442,-0.335564,AL2 3UB,St Albans,East of England,51.710442,-0.335564,200,OK
55.971653,-2.94518,EH32 0ED,East Lothian,,55.971509,-2.945177,200,OK
54.859226,-1.554398,DH3 4PA,County Durham,North East,54.859226,-1.554398,200,OK
51.585707,-2.749129,NP26 5RD,Monmouthshire,,51.585672,-2.749118,200,OK
50.715285,-2.433262,DT1 1JE,Dorset,South West,50.715285,-2.433288,200,OK
50.800323,-3.186429,EX14 1PL,East Devon,South West,50.80027,-3.186386,200,OK
57.154592,-2.10764,AB25 3UZ,Aberdeen City,,57.154592,-2.10764,200,OK
52.90566,-1.186448,NG11 9LF,Nottingham,East Midlands,52.90568,-1.1864,200,OK
53.425343,-2.521792,,,,,,200,OK
53.63148,-1.160731,DN6 9HR,Doncaster,Yorkshire and The Humber,53.63148,-1.160731,200,OK
52.702726,-2.520882,TF1 1ES,Telford and Wrekin,West Midlands,52.702751,-2.520598,200,OK
53.772517,-1.552977,LS11 7DX,Leeds,Yorkshire and The Humber,53.772517,-1.552977,200,OK
53.549068,-0.10324,DN33 1AP,North East Lincolnshire,Yorkshire and The Humber,53.549068,-0.10324,200,OK
50.845122,-1.236748,PO14 4JF,Fareham,South East,50.845186,-1.236988,200,OK
53.379591,-1.23158,S25 3PF,Rotherham,Yorkshire and The Humber,53.379591,-1.23158,200,OK
53.681872,-2.743206,PR26 8NW,Chorley,North West,53.681872,-2.743206,200,OK
52.606344,0.38419,PE38 9NU,King's Lynn and West Norfolk,East of England,52.606344,0.38419,200,OK
54.254857,-7.745854,BT92 1DH,Fermanagh and Omagh,,54.254857,-7.745854,200,OK
51.57685,-0.397484,HA5 1QZ,Hillingdon,London,51.576932,-0.397525,200,OK
54.619926,-5.959582,BT14 7RL,Belfast,,54.619864,-5.959678,200,OK
51.513862,-0.14742,W1C 2AN,Westminster,London,51.513862,-0.14742,200,OK
51.744957,-3.284818,CF81 9QL,Caerphilly,,51.744948,-3.284833,200,OK
52.998891,-2.168478,ST4 4RH,Stoke-on-Trent,West Midlands,52.998891,-2.168478,200,OK
51.304624,-0.62918,GU24 0ES,Woking,South East,51.304624,-0.62918,200,OK
53.095407,-0.091857,PE22 7JJ,East Lindsey,East Midlands,53.095371,-0.091858,200,OK
53.765209,-2.703323,PR1 2SP,Preston,North West,53.765209,-2.703323,200,OK
55.411466,-1.703039,NE66 1QD,Northumberland,North East,55.411295,-1.70323,200,OK
51.110194,-0.185838,RH10 6TL,Crawley,South East,51.110194,-0.185838,200,OK
