lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.605703,-0.251257,HA8 0JG,Barnet,London,51.6055,-0.251341,200,OK
55.946171,-4.571517,G82 1NS,West Dunbartonshire,,55.946245,-4.571537,200,OK
51.860006,-0.186417,SG3 6EB,North Hertfordshire,East of England,51.860006,-0.186417,200,OK
52.60852,-1.677545,B77 5DU,Tamworth,West Midlands,52.60852,-1.677545,200,OK
52.261562,-1.973582,,,,,,200,OK
52.330262,0.990414,IP22 1LN,Mid Suffolk,East of England,52.330262,0.990414,200,OK
51.102274,0.745766,TN26 3JN,Ashford,South East,51.102154,0.746604,200,OK
51.516701,-0.154685,W1H 6AZ,Westminster,London,51.516701,-0.154685,200,OK
50.914388,-1.294746,SO30 0QB,Eastleigh,South East,50.914388,-1.29476,200,OK
51.96947,1.076024,CO11 1FG,Babergh,East of England,51.969469,1.076039,200,OK
51.599282,-0.123717,N22 7RP,Haringey,London,51.599172,-0.12362,200,OK
52.539184,-1.839108,B73 5BW,Birmingham,West Midlands,52.539184,-1.839108,200,OK
53.41935,-2.892986,L12 3HU,Liverpool,North West,53.41935,-2.892986,200,OK
57.584401,-3.869755,IV12 4AX,Highland,,57.584401,-3.869755,200,OK
53.419398,-2.839299,L36 7SJ,Knowsley,North West,53.419649,-2.839138,200,OK
52.589671,-1.184163,LE19 2BN,Blaby,East Midlands,52.589671,-1.184163,200,OK
51.407003,-0.706907,SL5 8BB,Bracknell Forest,South East,51.407057,-0.706863,200,OK
52.882593,-1.496199,DE24 9NP,Derby,East Midlands,52.883239,-1.495742,200,OK
51.368441,-0.446065,KT13 9UH,Elmbridge,South East,51.368441,-0.446065,200,OK
51.495646,-0.128926,SW1P 3DP,Westminster,London,51.495646,-0.128926,200,OK
52.373745,-1.275417,CV21 2HU,Rugby,West Midlands,52.373781,-1.275402,200,OK
52.829995,0.856719,NR21 8HG,North Norfolk,East of England,52.829995,0.856719,200,OK
53.523942,-2.391624,M28 3LL,Salford,North West,53.524391,-2.391552,200,OK
57.26291,-2.065633,,,,,,200,OK
51.386435,-1.32136,RG14 7ED,West Berkshire,South East,51.386435,-1.32136,200,OK
54.915929,-1.566298,NE9 7YH,Gateshead,North East,54.915945,-1.565705,200,OK
51.437826,0.35613,DA11 0JZ,Gravesham,South East,51.437826,0.35613,200,OK
53.080879,0.180842,PE22 8NU,East Lindsey,East Midlands,53.080879,0.180842,200,OK
53.58558,-0.73318,,,,,,200,OK
50.804153,-0.446168,BN12 5PG,Arun,South East,50.804153,-0.446168,200,OK
52.519311,-2.006485,B70 8DB,Sandwell,West Midlands,52.519311,-2.006485,200,OK
51.73963,0.469706,CM1 1QA,Chelmsford,East of England,51.73963,0.469706,200,OK
51.511899,-0.472446,UB7 7DP,Hillingdon,London,51.511899,-0.472446,200,OK
54.429353,-7.553868,BT94 2JH,Fermanagh and Omagh,,54.429353,-7.553868,200,OK
51.54753,-0.217522,NW2 5QU,Brent,London,51.547551,-0.217709,200,OK
51.305416,-0.992393,RG27 0BH,Basingstoke and Deane,South East,51.305416,-0.992393,200,OK
51.929797,-1.370732,OX7 7EU,West Oxfordshire,South East,51.929797,-1.370732,200,OK
51.390423,-0.498184,KT16 8AG,Runnymede,South East,51.390423,-0.498184,200,OK
53.34309,-1.361619,S20 8LY,Sheffield,Yorkshire and The Humber,53.342864,-1.362959,200,OK
51.471318,0.022431,SE3 0LL,Greenwich,London,51.471318,0.022431,200,OK
53.746908,-1.526698,LS10 4GA,Leeds,Yorkshire and The Humber,53.746908,-1.526698,200,OK
51.404682,-1.328033,RG14 1XJ,West Berkshire,South East,51.404682,-1.328033,200,OK
51.428589,0.192141,DA2 7DR,Dartford,South East,51.428589,0.192141,200,OK
51.586467,-3.001676,NP20 4BS,Newport,,51.586467,-3.001676,200,OK
52.709057,-2.219884,ST19 9RN,South Staffordshire,West Midlands,52.709472,-2.219338,200,OK
51.623333,-3.536369,CF32 7NP,Bridgend,,51.623333,-3.536369,200,OK
51.819332,-2.284189,GL2 4UE,Gloucester,South West,51.819332,-2.284117,200,OK
51.216268,1.383065,CT14 9XA,Dover,South East,51.216268,1.383065,200,OK
53.971975,-1.085865,YO30 6EN,York,Yorkshire and The Humber,53.972181,-1.085778,200,OK
51.85938,-2.238397,GL1 4EW,Gloucester,South West,51.85938,-2.238397,200,OK
53.032175,-2.674096,SY13 4JD,Cheshire East,North West,53.032175,-2.674096,200,OK
55.776224,-4.079974,ML3 9LE,South Lanarkshire,,55.776224,-4.079974,200,OK
52.642176,-1.34236,LE9 9NR,Hinckley and Bosworth,East Midlands,52.642176,-1.34236,200,OK
54.968559,-6.210436,BT43 7LX,Mid and East Antrim,,54.968559,-6.210436,200,OK
51.370254,0.10319,BR6 9AL,Bromley,London,51.370254,0.10319,200,OK
55.053696,-3.605897,DG1 4SR,Dumfries and Galloway,,55.053696,-3.605897,200,OK
55.95935,-3.171862,EH7 5PL,City of Edinburgh,,55.959341,-3.171878,200,OK
51.34855,-0.802208,GU47 9DL,Bracknell Forest,South East,51.348387,-0.801119,200,OK
51.665198,-0.276383,WD6 5HS,Hertsmere,East of England,51.665629,-0.276067,200,OK
55.883861,-3.517879,EH54 6QX,West Lothian,,55.883861,-3.517879,200,OK
57.125454,-2.148236,AB15 7SY,Aberdeen City,,57.125454,-2.148236,200,OK
51.074222,-2.171817,SP3 6AE,Wiltshire,South West,51.074222,-2.171817,200,OK
53.418529,-2.521874,WA3 6AL,Warrington,North West,53.418365,-2.522218,200,OK
53.549506,-1.480771,S70 1LQ,Barnsley,Yorkshire and The Humber,53.549624,-1.480906,200,OK
53.818786,-1.49794,LS8 3HU,Leeds,Yorkshire and The Humber,53.818786,-1.49794,200,OK
51.71232,-5.033066,SA73 2DF,Pembrokeshire,,51.71232,-5.033066,200,OK
53.140991,-1.196676,NG18 1EJ,Mansfield,East Midlands,53.141009,-1.196673,200,OK
50.617277,-3.422658,EX8 1DY,East Devon,South West,50.617277,-3.422658,200,OK
53.717988,-2.701262,PR26 6PQ,South Ribble,North West,53.717988,-2.701262,200,OK
54.5674,-1.3136,TS18 1PL,Stockton-on-Tees,North East,54.567303,-1.313275,200,OK
51.932524,1.274061,CO12 3RW,Tendring,East of England,51.932524,1.274061,200,OK
55.744675,-4.20386,G75 9HL,South Lanarkshire,,55.744675,-4.20386,200,OK
52.419269,-1.852138,B28 0RS,Birmingham,West Midlands,52.419269,-1.852138,200,OK
51.586385,0.201447,RM2 5HR,Havering,London,51.586327,0.201631,200,OK
50.691305,-3.442636,EX3 0FA,East Devon,South West,50.691305,-3.442636,200,OK
52.248367,-2.195672,WR9 0AL,Wychavon,West Midlands,52.248367,-2.195672,200,OK
52.197518,-2.225266,WR1 3BU,Worcester,West Midlands,52.197333,-2.225231,200,OK
52.954127,-1.99186,ST10 4LQ,Staffordshire Moorlands,West Midlands,52.954127,-1.99186,200,OK
51.492016,-1.087976,RG8 7EX,South Oxfordshire,South East,51.492016,-1.087976,200,OK
54.511553,-2.438997,CA16 6PY,Westmorland and Furness,North West,54.511553,-2.438997,200,OK
52.26775,-0.785831,NN6 0QW,North Northamptonshire,East Midlands,52.267764,-0.785844,200,OK
51.509232,-0.123646,WC2N 5LS,Westminster,London,51.509231,-0.123672,200,OK
54.683826,-5.970783,BT36 5FY,Antrim and Newtownabbey,,54.683826,-5.970783,200,OK
50.789924,-0.668564,PO21 1LS,Arun,South East,50.789924,-0.668564,200,OK
51.814256,1.026169,CO7 0GY,Tendring,East of England,51.814256,1.026169,200,OK
51.773637,-3.083429,NP4 9EY,Torfaen,,51.773637,-3.083429,200,OK
51.552191,-0.097991,N5 2AG,Islington,London,51.552244,-0.097989,200,OK
53.575519,-0.658765,DN17 1DL,North Lincolnshire,Yorkshire and The Humber,53.575519,-0.658765,200,OK
52.206284,-3.915051,,,,,,200,OK
51.591234,0.222944,RM3 0WT,Havering,London,51.591234,0.222944,200,OK
53.405757,-2.257476,M22 4NJ,Manchester,North West,53.405757,-2.257476,200,OK
51.95819,1.339159,IP11 2BU,East Suffolk,East of England,51.95819,1.339159,200,OK
52.077498,-1.940553,WR11 2ER,Wychavon,West Midlands,52.077498,-1.940553,200,OK
55.873636,-4.212362,G21 2DF,Glasgow City,,55.873636,-4.212362,200,OK
55.873037,-3.503251,EH54 9DY,West Lothian,,55.873037,-3.503251,200,OK
51.499971,-0.063553,SE16 4PZ,Southwark,London,51.499971,-0.063553,200,OK
51.531844,-0.36372,UB6 9UA,Ealing,London,51.531844,-0.36372,200,OK
50.794441,0.277898,BN22 9PQ,Eastbourne,South East,50.794734,0.2776,200,OK
51.401352,0.167359,BR8 7UR,Sevenoaks,South East,51.401352,0.167359,200,OK
51.744502,-3.379666,CF47 8EN,Merthyr Tydfil,,51.744929,-3.379244,200,OK
51.545334,0.56309,SS7 1PP,Castle Point,East of England,51.545334,0.56309,200,OK
52.685409,-2.474417,TF3 5BD,Telford and Wrekin,West Midlands,52.685409,-2.474417,200,OK
52.124141,0.747224,CO10 9BW,Babergh,East of England,52.124141,0.747224,200,OK
53.791263,-1.58971,LS12 4NF,Leeds,Yorkshire and The Humber,53.791263,-1.58971,200,OK
54.533737,-1.263646,TS5 8UE,Middlesbrough,North East,54.533737,-1.263646,200,OK
51.620942,-0.068144,N9 9NT,Enfield,London,51.620942,-0.068144,200,OK
53.535837,-0.090371,DN33 2HY,North East Lincolnshire,Yorkshire and The Humber,53.535837,-0.090371,200,OK
52.15949,1.593903,IP15 5QG,East Suffolk,East of England,52.15949,1.593903,200,OK
53.257667,-3.444718,LL17 0RY,Denbighshire,,53.257667,-3.444718,200,OK
53.508586,-2.408581,M28 7XH,Salford,North West,53.508554,-2.407661,200,OK
51.587193,-0.279611,NW9 9DG,Brent,London,51.587193,-0.279611,200,OK
55.050213,-2.06905,NE46 4HU,Northumberland,North East,55.050213,-2.06905,200,OK
52.522918,-1.482568,CV11 5LZ,Nuneaton and Bedworth,West Midlands,52.522972,-1.482567,200,OK
51.182188,-0.791129,GU10 3AG,Waverley,South East,51.182188,-0.791129,200,OK
57.588935,-2.194845,AB43 6NN,Aberdeenshire,,57.588962,-2.194611,200,OK
52.123326,-1.87548,WR11 8SY,Wychavon,West Midlands,52.123597,-1.876165,200,OK
51.459951,-0.324907,TW1 1NQ,Richmond upon Thames,London,51.459951,-0.324907,200,OK
50.987984,-0.07448,RH17 7SS,Lewes,South East,50.987984,-0.07448,200,OK
52.396478,1.297193,IP20 9JL,South Norfolk,East of England,52.396478,1.297193,200,OK
51.383681,-0.102199,CR0 2US,Croydon,London,51.383681,-0.102199,200,OK
54.007248,-1.075724,YO32 3YT,York,Yorkshire and The Humber,54.007256,-1.075779,200,OK
52.004705,-0.42736,MK45 4GH,Central Bedfordshire,East of England,52.004705,-0.42736,200,OK
51.783969,-3.208772,NP23 6EY,Blaenau Gwent,,51.783763,-3.208636,200,OK
54.90729,-1.536399,NE37 1TB,Sunderland,North East,54.90729,-1.536399,200,OK
53.490204,-2.221515,M40 7NZ,Manchester,North West,53.489952,-2.221634,200,OK
53.380053,-1.368628,S60 8AW,Rotherham,Yorkshire and The Humber,53.380053,-1.368628,200,OK
51.42084,-0.373239,TW12 2QS,Richmond upon Thames,London,51.42084,-0.373239,200,OK
52.694667,-0.966515,LE7 4RB,Melton,East Midlands,52.694584,-0.966266,200,OK
51.865469,-1.564158,OX7 6AB,West Oxfordshire,South East,51.865469,-1.564158,200,OK
53.397008,-3.12638,CH46 6DX,Wirral,North West,53.397302,-3.125651,200,OK
52.479617,-2.121997,DY5 3AE,Dudley,West Midlands,52.479635,-2.122026,200,OK
56.616678,-3.220815,PH11 8JB,Perth and Kinross,,56.616668,-3.220817,200,OK
51.446651,-2.140286,SN14 0FT,Wiltshire,South West,51.445913,-2.140874,200,OK
50.812881,-0.379759,BN11 4BT,Worthing,South East,50.812881,-0.379759,200,OK
51.396333,0.356023,,,,,,200,OK
53.482051,-2.607492,WA3 3SR,Wigan,North West,53.482051,-2.607492,200,OK
51.151889,-2.715872,BA6 9AP,Somerset,South West,51.151889,-2.715872,200,OK
52.678084,-1.347584,LE67 1BL,Hinckley and Bosworth,East Midlands,52.678084,-1.347584,200,OK
51.233518,-1.525621,SP11 0RL,Test Valley,South East,51.233518,-1.525621,200,OK
50.370506,-4.150022,PL1 3GH,Plymouth,South West,50.370314,-4.150465,200,OK
53.93287,-0.786629,YO42 2EL,East Riding of Yorkshire,Yorkshire and The Humber,53.932869,-0.786568,200,OK
57.653655,-3.332463,IV30 4NE,Moray,,57.653903,-3.331903,200,OK
51.226048,0.110301,TN8 6PA,Sevenoaks,South East,51.226048,0.110301,200,OK
54.862157,-3.257513,CA7 5HE,Cumberland,North West,54.862164,-3.2575,200,OK
51.430147,-0.886442,RG41 5GS,Wokingham,South East,51.430147,-0.886442,200,OK
52.602622,-1.923178,WS9 8ZE,Walsall,West Midlands,52.602631,-1.923207,200,OK
53.702348,-1.47762,WF3 4JS,Wakefield,Yorkshire and The Humber,53.702348,-1.47762,200,OK
51.303634,-0.667311,,,,,,200,OK
51.652806,-1.580076,SN7 7YT,Vale of White Horse,South East,51.652806,-1.580076,200,OK
52.00357,0.851537,CO6 4PS,Babergh,East of England,52.00357,0.851537,200,OK
52.635614,-1.099007,LE5 4FP,Leicester,East Midlands,52.635614,-1.099007,200,OK
51.6346,-0.775933,HP12 3AU,Buckinghamshire,South East,51.6346,-0.775933,200,OK
53.482683,-2.108096,OL7 0BW,Tameside,North West,53.482683,-2.108096,200,OK
53.731608,-2.241594,BB4 9QU,Rossendale,North West,53.731608,-2.241594,200,OK
53.317895,-1.10206,S81 0LA,Bassetlaw,East Midlands,53.317895,-1.10206,200,OK
54.596415,-5.9507,BT12 4NE,Belfast,,54.596575,-5.951156,200,OK
51.685476,0.00617,EN9 1XA,Epping Forest,East of England,51.685476,0.00617,200,OK
53.239229,-3.115758,CH6 5WT,Flintshire,,53.239229,-3.115758,200,OK
51.598942,-1.266912,OX11 6HN,South Oxfordshire,South East,51.598942,-1.266912,200,OK
50.922378,-1.421504,SO15 5HS,Southampton,South East,50.922378,-1.421504,200,OK
51.528155,-0.722755,SL6 7DN,Windsor and Maidenhead,South East,51.527891,-0.723004,200,OK
52.063394,-4.306177,SA44 4LT,Ceredigion,,52.063394,-4.306177,200,OK
51.589674,-2.967666,NP19 8HW,Newport,,51.589674,-2.967666,200,OK
51.622954,-2.666523,NP16 5TA,Monmouthshire,,51.622954,-2.666523,200,OK
51.659177,-0.397336,WD17 1SZ,Watford,East of England,51.659174,-0.397342,200,OK
52.31763,-2.076812,B60 3QY,Bromsgrove,West Midlands,52.31763,-2.076812,200,OK
53.550737,-0.497691,DN20 8LZ,North Lincolnshire,Yorkshire and The Humber,53.550737,-0.497691,200,OK
51.456522,-2.432201,BS30 5PX,South Gloucestershire,South West,51.456531,-2.432172,200,OK
52.756214,0.295503,PE34 4PG,King's Lynn and West Norfolk,East of England,52.756214,0.295503,200,OK
51.496146,-0.168034,SW3 2BP,Kensington and Chelsea,London,51.496146,-0.168034,200,OK
50.376042,-4.128289,PL4 8FD,Plymouth,South West,50.376558,-4.128342,200,OK
53.710182,-1.706277,WF15 6NB,Kirklees,Yorkshire and The Humber,53.710182,-1.706277,200,OK
51.282685,-0.82368,GU51 3EB,Hart,South East,51.282676,-0.823681,200,OK
53.287498,-0.305106,LN8 5PR,East Lindsey,East Midlands,53.287585,-0.305102,200,OK
53.855025,-1.620297,LS16 7DW,Leeds,Yorkshire and The Humber,53.855025,-1.620297,200,OK
52.285056,-0.606516,NN10 9FL,North Northamptonshire,East Midlands,52.285056,-0.606516,200,OK
53.575109,-1.704194,HD8 8FW,Kirklees,Yorkshire and The Humber,53.575109,-1.704194,200,OK
53.780977,-0.33983,HU7 6DT,"Kingston upon Hull, City of",Yorkshire and The Humber,53.780977,-0.33983,200,OK
53.544783,-2.291838,M45 7FR,Bury,North West,53.544953,-2.29158,200,OK
50.614216,-1.972973,BH19 1EP,Dorset,South West,50.614216,-1.972973,200,OK
52.291793,-0.612155,NN10 9XF,North Northamptonshire,East Midlands,52.291793,-0.612155,200,OK
52.506169,-2.042667,B69 1QR,Sandwell,West Midlands,52.506169,-2.042667,200,OK
52.675921,-1.826013,WS14 9BA,Lichfield,West Midlands,52.675921,-1.826013,200,OK
54.696759,-5.949676,BT36 5PE,Antrim and Newtownabbey,,54.696785,-5.949613,200,OK
52.251905,-3.3723,LD1 5BZ,Powys,,52.251905,-3.3723,200,OK
53.58072,-1.864616,HD9 4HP,Kirklees,Yorkshire and The Humber,53.58051,-1.864496,200,OK
54.753596,-1.3557,SR8 2JX,County Durham,North East,54.753596,-1.3557,200,OK
53.097836,-2.397732,CW1 5ZQ,Cheshire East,North West,53.097836,-2.397732,200,OK
51.02814,0.056174,TN22 3LD,Wealden,South East,51.02814,0.056174,200,OK
51.561611,-0.065466,N16 7EL,Hackney,London,51.561611,-0.065466,200,OK
53.384911,-3.073437,CH43 9AF,Wirral,North West,53.384557,-3.073759,200,OK
57.308737,-2.025878,,,,,,200,OK
52.998423,-3.946106,LL41 3LR,Gwynedd,,52.998423,-3.946106,200,OK
57.336075,-2.318335,AB51 0GE,Aberdeenshire,,57.336075,-2.318335,200,OK
52.34484,-0.172719,PE29 1HP,Huntingdonshire,East of England,52.34484,-0.172719,200,OK
51.632019,0.583537,SS11 7GH,Chelmsford,East of England,51.632019,0.583537,200,OK
50.692638,-1.174181,PO33 4AT,Isle of Wight,South East,50.692638,-1.174181,200,OK
51.837695,-2.26715,GL2 5DQ,Gloucester,South West,51.838477,-2.266499,200,OK
51.061675,-1.336234,SO22 5EZ,Winchester,South East,51.061577,-1.336435,200,OK
53.498891,-2.457375,M29 7DP,Wigan,North West,53.498891,-2.457375,200,OK
51.517304,-0.4195,UB3 2LY,Hillingdon,London,51.517304,-0.4195,200,OK
52.334668,-0.194215,PE29 6TX,Huntingdonshire,East of England,52.334632,-0.194187,200,OK
51.491995,-2.488985,BS16 9BJ,South Gloucestershire,South West,51.491941,-2.489027,200,OK
51.470586,-0.65344,SL4 4YJ,Windsor and Maidenhead,South East,51.470586,-0.65344,200,OK
52.135997,1.189261,IP6 9LB,East Suffolk,East of England,52.136022,1.190243,200,OK
52.241489,-0.94604,NN5 6HQ,West Northamptonshire,East Midlands,52.241489,-0.94604,200,OK
52.475344,-2.038088,B65 0HT,Sandwell,West Midlands,52.475377,-2.038037,200,OK
53.280956,-2.903836,CH65 8BG,Cheshire West and Chester,North West,53.280956,-2.903836,200,OK
52.490018,-2.993748,SY9 5DH,Shropshire,West Midlands,52.490018,-2.993748,200,OK
50.208867,-5.479287,TR26 2DG,Cornwall,South West,50.208867,-5.479287,200,OK
51.394258,-2.359217,BA1 5QS,Bath and North East Somerset,South West,51.394258,-2.359217,200,OK
53.375461,-3.023595,CH42 6PG,Wirral,North West,53.375493,-3.023896,200,OK
53.396541,-2.970757,L8 7LP,Liverpool,North West,53.396541,-2.970757,200,OK
52.837991,-1.546268,DE65 6GS,South Derbyshire,East Midlands,52.837917,-1.545745,200,OK
51.569372,-0.110031,N4 3EJ,Haringey,London,51.569372,-0.110031,200,OK
52.023521,-1.37484,OX15 4PG,Cherwell,South East,52.023521,-1.37484,200,OK
51.412731,-0.123657,SW16 4DW,Croydon,London,51.412809,-0.123455,200,OK
51.860294,-4.309606,SA31 1AF,Carmarthenshire,,51.860294,-4.309606,200,OK
53.376764,-1.454658,S2 2SR,Sheffield,Yorkshire and The Humber,53.376764,-1.454658,200,OK
52.656733,-0.085116,PE6 0PJ,Peterborough,East of England,52.656733,-0.085116,200,OK
56.447373,-2.879755,DD6 9AA,Fife,,56.447687,-2.879827,200,OK
53.701947,-1.403342,WF6 1QJ,Wakefield,Yorkshire and The Humber,53.701947,-1.403342,200,OK
51.166197,-0.679752,GU8 5JZ,Waverley,South East,51.166197,-0.679752,200,OK
52.605688,1.729556,NR30 2AY,Great Yarmouth,East of England,52.605761,1.72951,200,OK
51.517366,-0.140979,W1W 7JE,Westminster,London,51.517366,-0.140979,200,OK
52.384905,-1.519173,CV3 6LD,Coventry,West Midlands,52.384905,-1.519173,200,OK
53.352291,-2.785954,WA8 8NQ,Halton,North West,53.352291,-2.785954,200,OK
53.458972,-2.074616,SK14 4GG,Tameside,North West,53.458972,-2.074616,200,OK
51.841085,-2.20927,GL4 4DJ,Gloucester,South West,51.841085,-2.20927,200,OK
51.175544,-0.178181,RH6 8RL,Reigate and Banstead,South East,51.175544,-0.178181,200,OK
51.521025,-0.097212,EC2Y 8EA,City of London,London,51.521151,-0.09708,200,OK
51.508247,-0.407407,UB3 3LB,Hillingdon,London,51.508247,-0.407407,200,OK
53.924746,-1.817048,LS29 8HT,Bradford,Yorkshire and The Humber,53.924743,-1.817325,200,OK
52.053721,-2.717849,HR4 9DP,"Herefordshire, County of",West Midlands,52.053721,-2.717849,200,OK
55.938404,-3.074358,EH21 6UG,East Lothian,,55.938475,-3.074472,200,OK
50.367635,-4.157402,PL1 3LQ,Plymouth,South West,50.36787,-4.157848,200,OK
54.846964,-6.274068,BT42 2HD,Mid and East Antrim,,54.846702,-6.273955,200,OK
52.963549,-2.183064,ST4 8HQ,Stoke-on-Trent,West Midlands,52.963549,-2.183064,200,OK
54.980212,-1.651479,NE4 9BA,Newcastle upon Tyne,North East,54.980212,-1.651479,200,OK
54.615653,-5.966221,BT14 7HX,Belfast,,54.615653,-5.966221,200,OK
53.468967,-2.229508,M13 9JA,Manchester,North West,53.469003,-2.229448,200,OK
51.253324,1.003549,CT4 7RQ,Canterbury,South East,51.253324,1.003549,200,OK
55.934139,-3.094458,EH21 8QS,City of Edinburgh,,55.934139,-3.094458,200,OK
54.844713,-1.845805,,,,,,200,OK
55.89302,-4.437,PA4 9QJ,Renfrewshire,,55.89302,-4.437,200,OK
50.772927,0.28871,BN22 8DL,Eastbourne,South East,50.772927,0.28871,200,OK
51.073695,-1.312454,SO23 7JB,Winchester,South East,51.073695,-1.312454,200,OK
50.878467,-1.820053,BH24 3PN,New Forest,South East,50.878467,-1.820053,200,OK
54.345979,-6.661512,BT60 4AX,"Armagh City, Banbridge and Craigavon",,54.345979,-6.661512,200,OK
54.691302,-6.653765,BT45 7SN,Mid Ulster,,54.691693,-6.654187,200,OK
53.67608,-1.309775,WF8 3QY,Wakefield,Yorkshire and The Humber,53.67608,-1.309775,200,OK
53.524544,-2.484592,M46 9DT,Wigan,North West,53.524544,-2.484592,200,OK
55.864495,-3.957864,ML6 8JR,North Lanarkshire,,55.864495,-3.957864,200,OK
54.162083,-6.348041,BT35 8AG,"Newry, Mourne and Down",,54.162083,-6.348041,200,OK
51.655887,-1.006846,OX49 5AN,South Oxfordshire,South East,51.655333,-1.006237,200,OK
53.007597,-2.12039,ST2 0RF,Stoke-on-Trent,West Midlands,53.007605,-2.120389,200,OK
51.524842,-0.105775,EC1R 0LU,Islington,London,51.524772,-0.105936,200,OK
