lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.526436,-0.053766,E2 0HL,Tower Hamlets,London,51.526438,-0.053739,200,OK
52.763345,-2.52245,TF6 6JU,Telford and Wrekin,West Midlands,52.763511,-2.522702,200,OK
51.408226,0.017604,BR1 1QF,Bromley,London,51.408226,0.017604,200,OK
53.922302,-2.893943,PR3 6AJ,Wyre,North West,53.922272,-2.894957,200,OK
51.522175,-3.390563,CF72 9EH,Rhondda Cynon Taf,,51.522175,-3.390563,200,OK
51.521634,-3.088752,CF3 0RA,Cardiff,,51.521634,-3.088752,200,OK
54.897571,-1.551838,NE38 0NL,Sunderland,North East,54.897571,-1.551838,200,OK
53.512511,-2.202586,M9 4NY,Manchester,North West,53.512511,-2.202586,200,OK
52.35385,-1.293182,CV22 7QY,Rugby,West Midlands,52.35385,-1.293182,200,OK
54.978774,-1.701989,NE15 7QJ,Newcastle upon Tyne,North East,54.978774,-1.701989,200,OK
54.595113,-5.707403,BT23 4AL,Ards and North Down,,54.595113,-5.707403,200,OK
51.371628,-0.463413,KT13 8DT,Elmbridge,South East,51.371627,-0.463393,200,OK
53.842029,-1.585065,LS16 5PH,Leeds,Yorkshire and The Humber,53.841639,-1.584724,200,OK
51.365417,-0.143232,SM6 8EP,Sutton,London,51.365417,-0.143232,200,OK
51.484204,-0.806445,RG10 0JH,Windsor and Maidenhead,South East,51.484204,-0.806445,200,OK
52.641369,1.244497,NR5 8XJ,Norwich,East of England,52.641369,1.244497,200,OK
51.500667,-0.045326,SE16 6XA,Southwark,London,51.500667,-0.045326,200,OK
52.23063,-0.287148,PE19 7GS,Huntingdonshire,East of England,52.23063,-0.287148,200,OK
52.872133,-1.436863,DE73 6XE,Derby,East Midlands,52.872133,-1.436863,200,OK
51.526934,-2.534622,BS32 0DL,South Gloucestershire,South West,51.526934,-2.534622,200,OK
57.17713,-2.451572,AB32 7ED,Aberdeenshire,,57.176968,-2.451702,200,OK
53.471036,-2.582747,WA3 2UD,Wigan,North West,53.471036,-2.582747,200,OK
