lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
53.553777,-0.108192,DN34 5HF,North East Lincolnshire,Yorkshire and The Humber,53.553777,-0.108192,200,OK
51.440046,-0.598671,SL4 2HW,Windsor and Maidenhead,South East,51.440046,-0.598671,200,OK
51.911522,1.139857,CO11 2RT,Tendring,East of England,51.911522,1.139857,200,OK
50.385392,-4.171797,PL2 1LA,Plymouth,South West,50.385525,-4.171915,200,OK
53.404162,-2.984092,L1 3BX,Liverpool,North West,53.404162,-2.984092,200,OK
55.959672,-2.783701,EH41 3LN,East Lothian,,55.959672,-2.783701,200,OK
51.563375,-0.062318,E5 8SF,Hackney,London,51.563375,-0.062318,200,OK
51.586105,-0.056111,N17 9DQ,Haringey,London,51.586105,-0.056111,200,OK
51.506496,-0.14622,W1J 7JY,Westminster,London,51.506496,-0.14622,200,OK
53.399782,-3.125792,CH46 6AU,Wirral,North West,53.400113,-3.125921,200,OK
53.622079,-2.658922,PR7 5UH,Chorley,North West,53.622079,-2.658922,200,OK
51.562122,-0.266751,HA9 9DJ,Brent,London,51.562122,-0.266751,200,OK
51.737224,0.012154,EN9 2NH,Epping Forest,East of England,51.737224,0.012154,200,OK
57.14814,-2.633953,AB31 4PL,Aberdeenshire,,57.148338,-2.633824,200,OK
52.894855,-1.511308,DE23 2GH,Derby,East Midlands,52.894855,-1.511308,200,OK
52.54501,-1.874956,B44 0QL,Birmingham,West Midlands,52.54501,-1.874956,200,OK
52.204393,-4.371022,SA45 9TT,Ceredigion,,52.204393,-4.371022,200,OK
52.995335,-1.205787,NG6 8DH,Nottingham,East Midlands,52.995335,-1.205787,200,OK
50.643323,-2.43383,DT3 6LE,Dorset,South West,50.643323,-2.43383,200,OK
52.485965,-2.151747,DY6 8NE,Dudley,West Midlands,52.485965,-2.151747,200,OK
55.467266,-4.634583,KA8 8AQ,South Ayrshire,,55.467266,-4.634583,200,OK
52.711487,1.40955,NR12 8TD,North Norfolk,East of England,52.711487,1.40955,200,OK
50.808784,-1.894171,BH22 9NF,Dorset,South West,50.808784,-1.894171,200,OK
53.834491,-1.943909,BD22 8QF,Bradford,Yorkshire and The Humber,53.834491,-1.943909,200,OK
53.758584,-0.30505,HU9 3DP,"Kingston upon Hull, City of",Yorkshire and The Humber,53.758584,-0.30505,200,OK
51.88573,-2.082769,GL53 0EQ,Cheltenham,South West,51.885586,-2.082755,200,OK
51.293623,-0.787058,GU14 0NR,Rushmoor,South East,51.293623,-0.787058,200,OK
53.931507,-1.381051,LS22 6TR,Leeds,Yorkshire and The Humber,53.931507,-1.381066,200,OK
52.531488,-1.43374,CV11 6TZ,Nuneaton and Bedworth,West Midlands,52.531488,-1.43374,200,OK
53.453007,-2.286268,M32 8GR,Trafford,North West,53.453007,-2.286268,200,OK
54.573208,-7.339054,BT78 1SG,Fermanagh and Omagh,,54.573208,-7.339054,200,OK
50.740425,-3.316719,EX11 1TT,East Devon,South West,50.740425,-3.316719,200,OK
51.544607,-0.081979,N1 4HR,Hackney,London,51.54441,-0.082031,200,OK
53.502445,-1.07834,DN4 6DT,Doncaster,Yorkshire and The Humber,53.502445,-1.07834,200,OK
53.661133,-1.625597,WF12 0EU,Kirklees,Yorkshire and The Humber,53.661133,-1.625597,200,OK
52.031942,-2.15015,GL20 6JP,Tewkesbury,South West,52.031942,-2.15015,200,OK
51.4926,-2.617722,BS9 3AD,"Bristol, City of",South West,51.4926,-2.617722,200,OK
51.833968,-2.202039,GL4 8AR,Stroud,South West,51.833968,-2.202039,200,OK
51.509263,-2.567772,BS34 7ED,South Gloucestershire,South West,51.509263,-2.567772,200,OK
51.56063,-0.135984,N19 5SA,Islington,London,51.56063,-0.135984,200,OK
53.395717,-2.137711,SK2 6DD,Stockport,North West,53.395717,-2.137711,200,OK
50.89693,-1.39847,SO14 3SE,Southampton,South East,50.896713,-1.398251,200,OK
52.225517,-1.182492,NN11 3AN,West Northamptonshire,East Midlands,52.225358,-1.182993,200,OK
53.791601,-2.224088,BB10 4QQ,Burnley,North West,53.791601,-2.224088,200,OK
52.805965,-2.691196,SY4 4DU,Shropshire,West Midlands,52.805965,-2.691196,200,OK
55.612059,-4.635234,KA11 1LA,North Ayrshire,,55.612059,-4.635234,200,OK
50.937488,-1.404224,SO16 7PN,Southampton,South East,50.93732,-1.40303,200,OK
