lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
54.630498,-5.959424,BT14 6SU,Belfast,,54.630498,-5.959424,200,OK
51.425768,-0.188083,SW19 8HD,Merton,London,51.425768,-0.188083,200,OK
52.546917,-1.754413,B76 9QJ,Birmingham,West Midlands,52.546917,-1.754413,200,OK
51.454721,-0.318924,TW1 2AN,Richmond upon Thames,London,51.454866,-0.318364,200,OK
51.463215,-3.210555,,,,,,200,OK
52.489878,-1.907174,B19 3EG,Birmingham,West Midlands,52.489914,-1.907262,200,OK
51.444837,-0.128284,SW2 4QH,Lambeth,London,51.444837,-0.128284,200,OK
54.66655,-5.957539,BT36 7SY,Antrim and Newtownabbey,,54.66655,-5.957539,200,OK
51.478948,-0.148206,SW11 8LZ,Wandsworth,London,51.478921,-0.148207,200,OK
51.202954,0.219146,TN11 8SB,Sevenoaks,South East,51.202954,0.219146,200,OK
50.975225,-1.746981,SP6 2RG,New Forest,South East,50.975225,-1.746981,200,OK
53.496253,-2.320536,M6 8WG,Salford,North West,53.496253,-2.320536,200,OK
52.897766,-1.500126,DE23 1TL,Derby,East Midlands,52.897766,-1.500126,200,OK
54.124181,-3.208658,LA13 9LT,Westmorland and Furness,North West,54.124215,-3.208796,200,OK
52.15374,-0.4769,MK41 7PG,Bedford,East of England,52.154019,-0.476949,200,OK
53.41843,-2.226768,M20 6TA,Manchester,North West,53.41843,-2.226768,200,OK
53.92848,-1.076231,YO19 4RB,York,Yorkshire and The Humber,53.928463,-1.076346,200,OK
53.391526,-2.927741,L15 3LD,Liverpool,North West,53.391615,-2.927818,200,OK
53.780029,-2.692735,PR2 8BX,Preston,North West,53.780029,-2.692735,200,OK
55.037217,-7.207027,BT47 3YT,Derry City and Strabane,,55.037217,-7.207027,200,OK
51.053007,-0.346481,RH13 0AH,Horsham,South East,51.052879,-0.346602,200,OK
51.371699,-0.227717,SM3 8JR,Sutton,London,51.37167,-0.227679,200,OK
51.687889,-0.025121,EN8 7FP,Broxbourne,East of England,51.688133,-0.025212,200,OK
53.711424,-1.238911,WF11 9AY,Wakefield,Yorkshire and The Humber,53.711424,-1.238911,200,OK
52.816521,-1.332367,DE74 2QJ,North West Leicestershire,East Midlands,52.8166,-1.331876,200,OK
55.779497,-4.04993,ML3 0AB,South Lanarkshire,,55.779497,-4.04993,200,OK
51.485452,0.341458,RM17 5SP,Thurrock,East of England,51.485452,0.341458,200,OK
56.040005,-3.353361,KY11 9PD,Fife,,56.04012,-3.352755,200,OK
52.47588,-0.903376,LE16 8JP,Harborough,East Midlands,52.47588,-0.903376,200,OK
53.797083,-1.686693,LS28 7PW,Leeds,Yorkshire and The Humber,53.797083,-1.686693,200,OK
55.440651,-4.621962,KA7 4RG,South Ayrshire,,55.440651,-4.621962,200,OK
52.412875,-1.533219,CV5 8JS,Coventry,West Midlands,52.412875,-1.533219,200,OK
53.719144,-1.479079,WF3 4EJ,Wakefield,Yorkshire and The Humber,53.719144,-1.479079,200,OK
52.480913,-1.854548,B9 4US,Birmingham,West Midlands,52.480823,-1.854887,200,OK
51.64074,-3.658094,CF34 0YH,Bridgend,,51.64074,-3.658094,200,OK
51.798957,-3.176022,NP23 4JP,Blaenau Gwent,,51.799172,-3.1761,200,OK
53.496586,-2.893629,L33 1SY,Knowsley,North West,53.496586,-2.893629,200,OK
52.220719,-1.85915,B49 6QW,Stratford-on-Avon,West Midlands,52.220719,-1.85915,200,OK
54.181951,-6.327994,BT34 1HX,"Newry, Mourne and Down",,54.182235,-6.327125,200,OK
53.601851,-1.924964,HD7 6BL,Kirklees,Yorkshire and The Humber,53.601266,-1.924739,200,OK
51.910214,-0.726499,LU7 0JW,Buckinghamshire,South East,51.910279,-0.726619,200,OK
