lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
50.860361,0.26454,BN27 2LA,Wealden,South East,50.860361,0.26454,200,OK
55.460048,-1.975113,NE66 4JJ,Northumberland,North East,55.460048,-1.975113,200,OK
51.107264,-0.323918,RH12 4QE,Horsham,South East,51.107264,-0.323918,200,OK
52.344762,1.502714,IP19 8BF,East Suffolk,East of England,52.344762,1.502714,200,OK
53.452023,-2.73789,WA10 1NN,St. Helens,North West,53.452284,-2.737532,200,OK
53.379231,-0.010965,LN11 0YZ,East Lindsey,East Midlands,53.379624,-0.01152,200,OK
51.403373,0.003231,BR2 0HZ,Bromley,London,51.403373,0.003231,200,OK
52.063488,-1.324774,OX16 4NL,Cherwell,South East,52.063488,-1.324774,200,OK
55.009999,-1.444963,NE30 1AL,North Tyneside,North East,55.0098,-1.444794,200,OK
55.637669,-2.676051,TD4 6BX,Scottish Borders,,55.638052,-2.676316,200,OK
54.941455,-3.918218,DG7 1JH,Dumfries and Galloway,,54.941455,-3.918218,200,OK
52.414905,-1.447143,CV2 5BS,Coventry,West Midlands,52.414492,-1.447192,200,OK
51.758766,-1.587266,OX18 3SD,West Oxfordshire,South East,51.758766,-1.587266,200,OK
54.600476,-3.135625,CA12 5HP,Cumberland,North West,54.600476,-3.135625,200,OK
55.868263,-4.297778,G3 8QB,Glasgow City,,55.868263,-4.297778,200,OK
54.247829,-6.687982,BT60 2XB,"Armagh City, Banbridge and Craigavon",,54.247862,-6.687705,200,OK
55.451274,-4.627934,KA7 2RQ,South Ayrshire,,55.451274,-4.627934,200,OK
51.617981,-2.258187,GL8 8UL,Cotswold,South West,51.617981,-2.258187,200,OK
55.130456,-6.673061,BT52 1DF,Causeway Coast and Glens,,55.130456,-6.673061,200,OK
51.388193,-0.124402,CR0 3BR,Croydon,London,51.388193,-0.124402,200,OK
51.479255,0.006871,SE3 7UA,Greenwich,London,51.479255,0.006871,200,OK
55.844405,-4.218096,G40 3EA,Glasgow City,,55.844405,-4.218096,200,OK
52.730821,0.113379,,,,,,200,OK
53.593889,-1.927381,HD7 6HQ,Kirklees,Yorkshire and The Humber,53.593889,-1.927381,200,OK
52.394182,-1.744062,B93 9PN,Solihull,West Midlands,52.394182,-1.744062,200,OK
55.868566,-4.215398,G21 2SE,Glasgow City,,55.868856,-4.214522,200,OK
51.813516,-2.283456,GL2 4QZ,Stroud,South West,51.81357,-2.283428,200,OK
55.911295,-4.218715,G64 2NT,East Dunbartonshire,,55.911295,-4.218715,200,OK
53.477412,-2.574985,WA3 2HY,Wigan,North West,53.477412,-2.574985,200,OK
52.89026,-0.406351,NG34 0SB,South Kesteven,East Midlands,52.89026,-0.406351,200,OK
51.175994,-0.568894,GU5 0ND,Waverley,South East,51.175994,-0.568894,200,OK
51.341933,-2.974762,BS23 1XL,North Somerset,South West,51.341646,-2.975052,200,OK
50.397092,-3.972018,PL21 9PN,South Hams,South West,50.397092,-3.972018,200,OK
52.746937,0.509526,PE32 1LS,King's Lynn and West Norfolk,East of England,52.746937,0.509526,200,OK
56.193829,-3.199098,KY6 2HN,Fife,,56.193829,-3.199098,200,OK
55.847565,-4.391402,PA1 3JH,Renfrewshire,,55.847754,-4.391381,200,OK
51.519181,-0.163737,W1H 4JH,Westminster,London,51.519181,-0.163737,200,OK
51.445163,-0.342299,TW2 6QW,Richmond upon Thames,London,51.445221,-0.342628,200,OK
53.817626,-2.414575,BB7 9NN,Ribble Valley,North West,53.817563,-2.414726,200,OK
