lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.873332,0.85966,CO3 9EE,Colchester,East of England,51.873332,0.85966,200,OK
52.10586,0.667673,CO10 7FG,Babergh,East of England,52.10586,0.667673,200,OK
51.48775,0.104502,SE2 0JB,Greenwich,London,51.48775,0.104502,200,OK
51.259165,-0.952904,RG29 1ER,Hart,South East,51.259083,-0.952889,200,OK
52.26764,1.51913,IP17 3LD,East Suffolk,East of England,52.26764,1.51913,200,OK
55.921574,-4.338337,G61 4NF,East Dunbartonshire,,55.921574,-4.338337,200,OK
53.110166,-2.175217,ST8 6LE,Staffordshire Moorlands,West Midlands,53.110166,-2.175217,200,OK
51.525027,-0.114503,WC1X 0JZ,Camden,London,51.525027,-0.114503,200,OK
51.407231,-0.094923,CR7 8PF,Croydon,London,51.407315,-0.095092,200,OK
51.734689,-3.128012,NP13 1HE,Blaenau Gwent,,51.734487,-3.128427,200,OK
51.542429,-1.902885,SN4 7AG,Wiltshire,South West,51.542429,-1.902885,200,OK
53.955876,-1.077393,YO1 9AG,York,Yorkshire and The Humber,53.956195,-1.07802,200,OK
53.63063,-2.158543,OL12 6EN,Rochdale,North West,53.63063,-2.158543,200,OK
52.215502,0.591024,IP29 5HH,West Suffolk,East of England,52.215502,0.591024,200,OK
50.784123,-0.672488,PO21 1SR,Arun,South East,50.784123,-0.672488,200,OK
53.790486,-0.371821,HU6 9EP,"Kingston upon Hull, City of",Yorkshire and The Humber,53.790486,-0.371821,200,OK
55.587729,-3.613215,ML12 6JZ,South Lanarkshire,,55.587729,-3.613215,200,OK
53.402905,-0.76322,DN21 1GN,West Lindsey,East Midlands,53.402905,-0.76322,200,OK
51.523925,-0.164036,NW1 6NU,Westminster,London,51.523925,-0.164036,200,OK
51.317983,-0.314628,KT21 2EH,Mole Valley,South East,51.317983,-0.314628,200,OK
52.684771,-1.940031,WS7 1NA,Lichfield,West Midlands,52.684762,-1.939987,200,OK
55.857718,-4.255673,G1 4DB,Glasgow City,,55.857718,-4.255673,200,OK
53.313968,-4.631389,LL65 1EG,Isle of Anglesey,,53.314123,-4.631238,200,OK
54.112258,-3.218992,LA14 2BJ,Westmorland and Furness,North West,54.112258,-3.218992,200,OK
51.758563,-4.372582,SA17 5TU,Carmarthenshire,,51.758563,-4.372582,200,OK
56.618184,-3.231228,PH11 8BW,Perth and Kinross,,56.618184,-3.231228,200,OK
