lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
53.435751,-3.047154,CH45 9LT,Wirral,North West,53.435751,-3.047154,200,OK
52.387785,-2.244954,DY10 1PG,Wyre Forest,West Midlands,52.387785,-2.244954,200,OK
52.488339,-2.120136,DY5 1HG,Dudley,West Midlands,52.488339,-2.120136,200,OK
51.516037,-0.138266,W1D 1NE,Westminster,London,51.516037,-0.138266,200,OK
53.928125,-1.805185,LS29 8LS,Bradford,Yorkshire and The Humber,53.92814,-1.805188,200,OK
50.914895,-2.105454,DT11 8JJ,Dorset,South West,50.914895,-2.105454,200,OK
51.578969,-0.703999,SL8 5HF,Buckinghamshire,South East,51.578969,-0.703999,200,OK
52.150998,0.13627,CB22 5WG,South Cambridgeshire,East of England,52.150981,0.136181,200,OK
51.145727,-2.502227,BA4 6HR,Somerset,South West,51.145727,-2.502227,200,OK
53.844522,-2.138562,BB8 8PG,Pendle,North West,53.844522,-2.138562,200,OK
52.49415,-1.898298,B19 2QG,Birmingham,West Midlands,52.49415,-1.898298,200,OK
51.278324,0.519129,ME14 9YA,Maidstone,South East,51.278324,0.519129,200,OK
52.143904,-1.359288,OX17 1EL,Stratford-on-Avon,West Midlands,52.143904,-1.359288,200,OK
56.498213,-3.053345,DD2 5RD,Angus,,56.498213,-3.053345,200,OK
51.365665,-1.390155,RG20 0NJ,Basingstoke and Deane,South East,51.365665,-1.390155,200,OK
56.45927,-3.042043,DD2 1NF,Dundee City,,56.45927,-3.042043,200,OK
53.922057,-2.183553,BB18 5RR,Pendle,North West,53.922057,-2.183553,200,OK
56.816119,-5.113013,PH33 6DX,Highland,,56.816365,-5.113611,200,OK
51.154907,-0.356443,RH5 5ST,Mole Valley,South East,51.154863,-0.356473,200,OK
50.93229,-1.539363,SO40 2HB,New Forest,South East,50.931669,-1.538933,200,OK
51.061124,0.173337,TN6 2TA,Wealden,South East,51.061124,0.173337,200,OK
57.421889,-1.909409,AB42 0RX,Aberdeenshire,,57.422145,-1.910878,200,OK
53.159512,-2.205674,CW12 3AN,Cheshire East,North West,53.159512,-2.205674,200,OK
51.592266,-0.023884,E17 5HD,Waltham Forest,London,51.592266,-0.023884,200,OK
53.275458,-2.941721,CH66 4JP,Cheshire West and Chester,North West,53.275427,-2.941091,200,OK
53.760819,-2.758479,PR2 2JZ,Preston,North West,53.760819,-2.758479,200,OK
57.229958,-2.748222,AB33 8NP,Aberdeenshire,,57.229958,-2.748222,200,OK
51.586806,0.44365,SS15 4DQ,Basildon,East of England,51.586806,0.44365,200,OK
51.299836,-0.310932,KT22 8TN,Mole Valley,South East,51.299836,-0.310932,200,OK
52.552069,-2.146996,WV4 5JN,South Staffordshire,West Midlands,52.552069,-2.146996,200,OK
55.745806,-3.88017,ML8 5EZ,South Lanarkshire,,55.745806,-3.88017,200,OK
51.130002,-0.429474,,,,,,200,OK
54.364148,-7.475149,BT94 3NF,Fermanagh and Omagh,,54.364148,-7.475149,200,OK
50.96184,-2.379791,DT10 2LT,Dorset,South West,50.96184,-2.379791,200,OK
53.403017,-2.629498,WA5 8QH,Warrington,North West,53.402936,-2.629497,200,OK
50.772753,0.10108,BN25 1NL,Lewes,South East,50.772802,0.10138,200,OK
