lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
50.518382,-4.831866,PL27 6BY,Cornwall,South West,50.518382,-4.831866,200,OK
51.514973,-0.122283,WC2B 5QG,Camden,London,51.514948,-0.122302,200,OK
50.633686,-3.326714,EX9 6SU,East Devon,South West,50.633394,-3.326253,200,OK
51.908094,-0.653175,LU7 4AJ,Central Bedfordshire,East of England,51.907479,-0.653488,200,OK
53.523404,-1.655003,S36 9QL,Barnsley,Yorkshire and The Humber,53.523404,-1.655003,200,OK
53.421099,-3.047263,CH45 4RE,Wirral,North West,53.421037,-3.047201,200,OK
51.648213,0.086572,IG10 3TB,Epping Forest,East of England,51.648213,0.086572,200,OK
51.63212,0.324422,CM15 8RB,Brentwood,East of England,51.63212,0.324422,200,OK
53.527228,-2.12073,OL8 4HP,Oldham,North West,53.527228,-2.12073,200,OK
52.899989,-1.09539,NG12 4EW,Rushcliffe,East Midlands,52.899989,-1.09539,200,OK
51.767005,-0.586358,HP4 3AX,Dacorum,East of England,51.767182,-0.586135,200,OK
52.46932,-1.923144,B15 3DP,Birmingham,West Midlands,52.469266,-1.923071,200,OK
55.779024,-3.950337,ML2 7RQ,North Lanarkshire,,55.779024,-3.950337,200,OK
53.078431,-2.18394,ST6 6TN,Stoke-on-Trent,West Midlands,53.078431,-2.18394,200,OK
53.476351,-2.207626,M11 3NT,Manchester,North West,53.476351,-2.207626,200,OK
50.912506,-1.402324,SO15 2QD,Southampton,South East,50.912507,-1.402315,200,OK
52.443917,-2.048161,B63 3DL,Dudley,West Midlands,52.443917,-2.048161,200,OK
52.977857,-1.238111,NG8 6DQ,Nottingham,East Midlands,52.977857,-1.238111,200,OK
54.57207,-1.277465,TS18 2PW,Stockton-on-Tees,North East,54.572452,-1.278293,200,OK
51.624394,-0.052799,N9 0RN,Enfield,London,51.624394,-0.052799,200,OK
51.061053,0.364134,TN5 7JX,Rother,South East,51.061053,0.364134,200,OK
58.218197,-6.384532,HS1 2HG,Na h-Eileanan Siar,,58.218197,-6.384532,200,OK
54.678894,-5.901238,BT37 0TL,Antrim and Newtownabbey,,54.678894,-5.901238,200,OK
53.800349,-0.379258,HU6 0AH,East Riding of Yorkshire,Yorkshire and The Humber,53.800349,-0.379258,200,OK
52.562751,-1.82309,B72 1XX,Birmingham,West Midlands,52.562616,-1.823238,200,OK
55.095401,-1.605679,,,,,,200,OK
54.104908,-0.200252,YO16 6ET,East Riding of Yorkshire,Yorkshire and The Humber,54.104908,-0.200252,200,OK
51.752856,-1.212241,OX3 7GB,Oxford,South East,51.752856,-1.212241,200,OK
53.76273,-1.881492,HX2 9UR,Calderdale,Yorkshire and The Humber,53.76273,-1.881492,200,OK
52.181758,1.615469,IP16 4NA,East Suffolk,East of England,52.181758,1.615469,200,OK
51.059377,-2.675047,TA11 6AE,Somerset,South West,51.059377,-2.675047,200,OK
56.133721,-3.383604,KY4 0DU,Fife,,56.133721,-3.383604,200,OK
53.384101,-2.723695,WA8 9LX,Halton,North West,53.384101,-2.723695,200,OK
52.562585,-3.320182,,,,,,200,OK
50.314523,-3.915658,TQ7 4PU,South Hams,South West,50.314523,-3.915658,200,OK
52.512794,-2.036891,B69 3HJ,Sandwell,West Midlands,52.512731,-2.036714,200,OK
51.457818,-0.110105,SW2 1PW,Lambeth,London,51.457818,-0.110105,200,OK
51.840581,-3.013462,NP7 7HN,Monmouthshire,,51.840581,-3.013462,200,OK
51.571086,-0.776327,SL7 1AW,Buckinghamshire,South East,51.571086,-0.776327,200,OK
51.549018,-0.18107,NW3 5HL,Camden,London,51.549018,-0.18107,200,OK
55.262871,-2.174633,NE19 1HH,Northumberland,North East,55.262522,-2.175159,200,OK
53.414815,-0.787686,DN21 3BL,West Lindsey,East Midlands,53.414815,-0.787686,200,OK
52.456601,-2.108857,DY9 8TN,Dudley,West Midlands,52.456211,-2.108791,200,OK
51.228979,1.135206,CT4 5HY,Canterbury,South East,51.228979,1.135206,200,OK
55.544971,-2.012857,NE71 6NB,Northumberland,North East,55.544971,-2.012857,200,OK
51.800741,-0.408947,AL3 7JD,St Albans,East of England,51.800741,-0.408947,200,OK
53.876567,-2.988354,FY5 5NT,Wyre,North West,53.876567,-2.988354,200,OK
53.049257,-2.998482,LL11 1EH,Wrexham,,53.049257,-2.998482,200,OK
53.524236,-2.416153,M28 0LJ,Salford,North West,53.524236,-2.416153,200,OK
52.7574,-0.386833,PE10 0WZ,South Kesteven,East Midlands,52.7574,-0.386833,200,OK
