lat,lon,postcode,admin_district,region,latitude,longitude,estado_api,descripcion_estado
51.584586,-0.315608,HA3 8ES,Harrow,London,51.584586,-0.315608,200,OK
51.029132,0.789754,TN26 2DA,Ashford,South East,51.028567,0.790091,200,OK
55.936702,-4.727119,PA15 2JX,Inverclyde,,55.936894,-4.727357,200,OK
53.43869,-2.000518,SK13 5ES,High Peak,East Midlands,53.43869,-2.000518,200,OK
53.790879,-1.520253,LS9 0RD,Leeds,Yorkshire and The Humber,53.790879,-1.520253,200,OK
51.539599,-2.618039,BS35 5RG,South Gloucestershire,South West,51.539213,-2.61759,200,OK
55.875403,-4.337479,G14 9QP,Glasgow City,,55.875403,-4.337479,200,OK
51.271695,0.402445,ME19 4JF,Tonbridge and Malling,South East,51.271695,0.402445,200,OK
51.653661,-0.398311,WD18 0WQ,Watford,East of England,51.65372,-0.398049,200,OK
53.388493,-2.135523,SK2 7HA,Stockport,North West,53.388593,-2.134741,200,OK
53.797552,-0.731985,YO43 4BD,East Riding of Yorkshire,Yorkshire and The Humber,53.797552,-0.731985,200,OK
53.193701,-2.434571,CW10 0HX,Cheshire East,North West,53.193874,-2.433929,200,OK
58.295806,-6.297862,,,,,,200,OK
51.618293,-0.235114,NW7 4EE,Barnet,London,51.618293,-0.235114,200,OK
53.311258,-1.120915,S81 7AB,Bassetlaw,East Midlands,53.311836,-1.121234,200,OK
51.516518,-3.186026,CF14 4EH,Cardiff,,51.515884,-3.186499,200,OK
53.739426,-2.495991,BB2 2NQ,Blackburn with Darwen,North West,53.739426,-2.495991,200,OK
51.682763,-1.128151,OX44 7UP,South Oxfordshire,South East,51.682745,-1.12818,200,OK
57.689417,-2.013237,AB43 9LX,Aberdeenshire,,57.689519,-2.013226,200,OK
51.513095,-0.181161,W2 3ER,Westminster,London,51.512995,-0.181544,200,OK
52.675779,1.223049,NR8 6PL,Broadland,East of England,52.675779,1.223049,200,OK
51.615996,-0.024763,E4 8AS,Waltham Forest,London,51.615996,-0.024763,200,OK
53.508293,-1.464131,S74 9LH,Barnsley,Yorkshire and The Humber,53.508293,-1.464131,200,OK
51.580892,-1.776376,SN2 1AQ,Swindon,South West,51.581081,-1.776175,200,OK
50.844377,-1.199359,PO14 1JZ,Fareham,South East,50.844377,-1.199359,200,OK
52.978297,-2.095005,ST3 6DZ,Stoke-on-Trent,West Midlands,52.978297,-2.095005,200,OK
50.882541,-1.203084,PO17 5BE,Winchester,South East,50.882541,-1.203084,200,OK
52.674216,-1.153868,LE4 1WX,Leicester,East Midlands,52.674216,-1.153868,200,OK
51.461882,0.126173,DA7 4EZ,Bexley,London,51.461555,0.126835,200,OK
54.965139,-1.853154,NE42 5QL,Northumberland,North East,54.965166,-1.852951,200,OK
53.451386,-2.260117,M16 8DL,Manchester,North West,53.451386,-2.260117,200,OK
52.776037,-1.23494,LE11 4LJ,Charnwood,East Midlands,52.776037,-1.23494,200,OK
52.281618,-1.38274,CV47 9AA,Stratford-on-Avon,West Midlands,52.281618,-1.38274,200,OK
53.030213,-2.23962,ST5 9QQ,Newcastle-under-Lyme,West Midlands,53.030213,-2.23962,200,OK
53.765455,-1.7803,BD6 1SZ,Bradford,Yorkshire and The Humber,53.765455,-1.7803,200,OK
51.605429,-3.004952,NP20 6HH,Newport,,51.605733,-3.005118,200,OK
51.41225,-0.403813,TW16 5JL,Spelthorne,South East,51.411988,-0.403751,200,OK
52.863514,-4.589177,,,,,,200,OK
51.29975,-1.060301,RG24 8BS,Basingstoke and Deane,South East,51.299739,-1.060115,200,OK
50.820559,-0.409566,BN13 1PW,Worthing,South East,50.820559,-0.409566,200,OK
53.716866,-2.084514,OL14 5TE,Calderdale,Yorkshire and The Humber,53.716866,-2.084514,200,OK
53.822987,-2.803246,PR4 0HT,Preston,North West,53.822987,-2.803246,200,OK
55.942718,-3.177556,EH8 9RH,City of Edinburgh,,55.942718,-3.177556,200,OK
51.434877,-2.550622,BS4 4JG,"Bristol, City of",South West,51.434877,-2.550622,200,OK
53.917214,-2.00796,BD20 8LG,North Yorkshire,Yorkshire and The Humber,53.917214,-2.00796,200,OK
53.969667,-0.835482,YO41 5QJ,East Riding of Yorkshire,Yorkshire and The Humber,53.969667,-0.835482,200,OK
52.220554,-0.17986,PE19 6SZ,South Cambridgeshire,East of England,52.220554,-0.17986,200,OK
53.588493,-2.429277,BL1 8HS,Bolton,North West,53.588493,-2.429277,200,OK
50.665129,-2.102755,BH20 5AX,Dorset,South West,50.665129,-2.102755,200,OK
55.477978,-4.601113,KA8 9TB,South Ayrshire,,55.477978,-4.601113,200,OK
56.640488,-2.88392,DD8 2AW,Angus,,56.640488,-2.88392,200,OK
51.520973,-0.168494,NW1 5AW,Westminster,London,51.520973,-0.168494,200,OK
